xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
46,Y,재공급,광진구,구의에스하임1,,여성,1,444,444.0,1순위,8,0.847437,0.885492,통과,통과,1순위,6,0.661195,0.722841,통과,통과,"서울특별시 광진구 광나루로30나길 15 (구의동 638-5,6, 구의에스하임1)"
47,Y,재공급,광진구,자양에스하임11,,남성,1,389,389.0,1순위,8,0.847171,0.88561,통과,통과,1순위,6,0.658085,0.723536,통과,통과,"서울특별시 광진구 아차산로46가길 10-3 (자양동 218-9, 자양에스하임11)"
48,Y,재공급,구로구,에이스빌,,,1,17,17.0,,,,,,,,,,,,,"서울특별시 구로구 경인로33가길 25 (개봉동 147-3외, 에이스빌)"
49,Y,재공급,구로구,계림웨스트밸리,49A,,10,1587,158.7,1순위,6,0.660955,0.723769,통과,미달,1순위,3,0.357536,0.405487,미달,미달,"서울특별시 구로구 경인로 70 (오류동 360, 계림웨스트밸리)"
50,Y,재공급,구로구,명진하이빌,20B,,1,12,12.0,2순위,6,0.474476,0.74651,미달,미달,2순위,4,0.217312,0.424339,미달,미달,"서울특별시 구로구 부일로17길 44 (궁동 190-84,85, 명진하이빌)"
51,Y,재공급,구로구,명진하이빌,24B,,2,23,11.5,2순위,7,0.64926,0.76066,통과,미달,2순위,4,0.28407,0.427057,미달,미달,"서울특별시 구로구 부일로17길 44 (궁동 190-84,85, 명진하이빌)"
52,Y,재공급,구로구,명진하이빌,29B,,1,15,15.0,2순위,9,0.629576,0.948022,통과,미달,2순위,5,0.312559,0.588022,통과,미달,"서울특별시 구로구 부일로17길 44 (궁동 190-84,85, 명진하이빌)"
53,Y,재공급,구로구,모던하우스,28B,,3,57,19.0,2순위,7,0.55733,0.763784,통과,미달,2순위,5,0.366443,0.587196,통과,미달,"서울특별시 구로구 개봉로15길 36-25 (개봉동 332-32,4, 모던하우스)"
54,Y,재공급,구로구,석윤주택,20B,,2,20,10.0,2순위,8,0.838069,0.930066,통과,통과,2순위,4,0.301942,0.420638,미달,미달,"서울특별시 구로구 고척로21가길 2-9 (개봉동 33-125, 석윤주택)"
55,Y,재공급,구로구,하늘사랑채,36A,,1,48,48.0,1순위,5,0.561331,0.590092,통과,미달,2순위,8,0.359591,0.784647,통과,통과,"서울특별시 구로구 고척로21가길 32-10 (개봉동 33-72, 하늘사랑채)"
56,Y,재공급,구로구,하늘사랑채5차 B동,19B,,3,40,13.3,2순위,5,0.453736,0.584907,미달,미달,2순위,3,0.266338,0.373031,미달,미달,"서울특별시 구로구 고척로27다길 39-7 (고척동 241-116, 하늘사랑채5차 B동)"
57,Y,재공급,구로구,하늘사랑채 7차,19B,,1,20,20.0,2순위,8,0.541397,0.929771,통과,미달,2순위,5,0.274083,0.578278,통과,미달,"서울특별시 구로구 안양천로537가길 18-8 (고척동 62-85, 하늘사랑채 7차)"
58,Y,재공급,구로구,대정이오스,29B,,3,118,39.3,2순위,6,0.333833,0.742298,미달,미달,2순위,5,0.235376,0.587002,통과,미달,"서울특별시 구로구 오리로13길 50 (오류동 240-7, 대정이오스)"
59,Y,신규공급,구로구,오크트리빌 구로 1차,26A,,1,35,35.0,1순위,3,0.364717,0.404338,미달,미달,1순위,3,0.363546,0.402824,미달,미달,"서울특별시 구로구 구로중앙로28다길 46 (구로동 546-17외, 오크트리빌 구로 1차)"
60,Y,신규공급,구로구,오크트리빌 구로 1차,28A,,14,1367,97.6,1순위,5,0.556711,0.590505,통과,미달,1순위,4,0.39758,0.465417,미달,미달,"서울특별시 구로구 구로중앙로28다길 46 (구로동 546-17외, 오크트리빌 구로 1차)"
61,Y,신규공급,구로구,오크트리빌 구로 1차,29A,,2,103,51.5,1순위,7,0.708678,0.749522,통과,통과,2순위,6,0.272904,0.640416,통과,미달,"서울특별시 구로구 구로중앙로28다길 46 (구로동 546-17외, 오크트리빌 구로 1차)"
62,Y,신규공급,구로구,오크트리빌 구로 1차,29B,,1,61,61.0,2순위,6,0.228443,0.541842,미달,미달,,,,,,,"서울특별시 구로구 구로중앙로28다길 46 (구로동 546-17외, 오크트리빌 구로 1차)"
63,Y,신규공급,구로구,오크트리빌 구로 1차,42A,,1,296,296.0,1순위,10,0.926512,0.935385,통과,통과,1순위,6,0.661575,0.721746,통과,통과,"서울특별시 구로구 구로중앙로28다길 46 (구로동 546-17외, 오크트리빌 구로 1차)"
64,Y,재공급,금천구,서전하우스,21B,,6,71,11.8,2순위,6,0.700846,0.744133,통과,통과,2순위,3,0.308872,0.375477,미달,미달,"서울특별시 금천구 범안로12가길 31-10 (독산동 1006-167, 서전하우스)"
65,Y,재공급,금천구,아이빌10차,28B,,1,16,16.0,2순위,8,0.588893,0.92985,통과,미달,2순위,5,0.300488,0.586626,통과,미달,"서울특별시 금천구 금하로23나길 29 (시흥동 826-38, 아이빌10차)"
66,Y,재공급,금천구,독산리젠트빌,26A,,1,92,92.0,1순위,6,0.66008,0.723685,통과,미달,2순위,8,0.242703,0.561081,통과,미달,"서울특별시 금천구 벚꽃로12길 19 (독산동 1004-8, 독산리젠트빌)"
67,Y,재공급,금천구,아이유하임,29B,,30,682,22.7,2순위,6,0.537488,0.742951,통과,미달,,,,,,,"서울특별시 금천구 독산로 293 (독산동 1162, 아이유하임)"
68,Y,재공급,금천구,스타힐스,28B,,1,55,55.0,2순위,8,0.329457,0.731141,미달,미달,2순위,6,0.246588,0.578351,통과,미달,"서울특별시 금천구 독산로23길 19 (시흥동 840-34, 89, 스타힐스)"
69,Y,재공급,금천구,은슬림10,19B,,15,87,5.8,2순위,3,0.309677,0.376911,미달,미달,2순위,0,0.046816,0.062421,미달,미달,"서울특별시 금천구 탑골로7길 11 (시흥동 220-116, 은슬림10)"
