xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
95,Y,재공급,서초구,서초파크타운 B동,28B,,1,283,283.0,,,,,,,,,,,,,"서울특별시 서초구 반포대로5길 62 (서초동 1478-16, 서초파크타운 B동)"
96,Y,재공급,서초구,동우빌라트 서초,29B,,1,241,241.0,1순위,5,0.558357,0.589101,통과,미달,1순위,5,0.560611,0.590836,통과,미달,"서울특별시 서초구 효령로46길 32-5 (서초동 1481-14, 동우빌라트 서초)"
97,Y,재공급,서초구,반포삼이하우스,34A,,1,761,761.0,1순위,10,0.925881,0.935385,통과,통과,1순위,9,0.897384,0.912551,통과,통과,"서울특별시 서초구 주흥6길 33 (반포동 726-40, 반포삼이하우스)"
98,Y,재공급,성동구,S-하우스 B동,21B,,3,192,64.0,1순위,6,0.659618,0.720362,통과,미달,1순위,4,0.398706,0.464072,미달,미달,"서울특별시 성동구 고산자로17길 9-1 (마장동 564-7, S-하우스 B동)"
99,Y,신규공급,성동구,명칭없음,20B,,24,1023,42.6,2순위,9,0.493715,0.946359,미달,미달,2순위,8,0.477428,0.928689,통과,통과,"서울특별시 성동구 가람길 267 (용답동 238-7, 명칭없음)"
100,Y,신규공급,성동구,명칭없음,25B,,24,2223,92.6,1순위,5,0.559353,0.589257,통과,미달,1순위,4,0.40106,0.462205,미달,미달,"서울특별시 성동구 가람길 267 (용답동 238-7, 명칭없음)"
101,Y,재공급,성북구,정목빌,29B,,1,23,23.0,1순위,5,0.559335,0.590549,통과,미달,2순위,8,0.513736,0.930049,통과,통과,"서울특별시 성북구 장월로28길 49 (장위동 77-58외, 정목빌)"
102,Y,재공급,성북구,정목빌,39A,,1,40,40.0,1순위,8,0.847089,0.885013,통과,통과,1순위,3,0.359784,0.40182,미달,미달,"서울특별시 성북구 장월로28길 49 (장위동 77-58외, 정목빌)"
103,N,재공급,성북구,서도휴빌,,여성,,,,1순위,9,,,,,1순위,7,,,,,"서울특별시 성북구 장월로1마길 23 (하월곡동 231, 서도휴빌 103,105동)"
104,N,재공급,성북구,서도휴빌,,남성,,,,1순위,9,,,,,1순위,8,,,,,"서울특별시 성북구 장월로1마길 23 (하월곡동 231, 서도휴빌 101,102,107동)"
